"Yield","BiologicalMaterial01","BiologicalMaterial02","BiologicalMaterial03","ManufacturingProcess01","ManufacturingProcess02","ManufacturingProcess03"
38,6.25,49.58,56.97,NA,NA,NA
42.44,8.01,60.97,67.48,0,0,NA
42.03,8.01,60.97,67.48,0,0,NA
41.42,8.01,60.97,67.48,0,0,NA
42.49,7.47,63.33,72.25,10.7,0,NA
43.57,6.12,58.36,65.31,12,0,NA
43.12,7.48,64.47,72.41,11.5,0,1.56
43.06,6.94,63.6,72.06,12,0,1.55
41.49,6.94,63.6,72.06,12,0,1.56
42.45,6.94,63.6,72.06,12,0,1.55
42.04,7.17,61.23,70.01,10.3,0,1.55
42.68,7.17,61.23,70.01,10.3,0,1.55
43.44,7.17,61.23,70.01,10.3,0,1.55
40.28,7.63,60.51,69.24,11.1,0,1.59
41.5,6.23,62.93,69.74,11.3,0,NA
41.21,7.13,60.3,68.18,11.1,0,NA
40.89,7.85,58.22,66.95,11.1,0,NA
40.14,7.64,59.44,67.22,12.4,0,NA
39.3,7.51,59.74,67.28,12.7,0,NA
39.53,7.51,59.74,67.28,12.7,0,NA
40.22,7.51,59.74,67.28,12.7,0,1.56
41.18,7.08,61.83,70.69,10.9,0,NA
40.7,6.58,58.38,67.17,11.1,0,NA
41.89,6.27,56.23,64.98,11.3,0,NA
43.38,8.17,63.66,73.44,9,0,1.54
36.83,6.6,55.74,66.25,11.6,0,1.52
35.25,6.9,54.26,60.99,9.2,0,1.53
36.12,6.86,55.66,63.43,9.2,0,1.54
38.52,6.67,63.44,76.94,9.2,0,1.52
38.35,6.53,61.68,77.15,10.4,0,1.52
39.98,6.89,61.54,76.07,10.3,0,1.54
41.87,7.13,61.39,74.1,11.2,0,1.53
43.62,6.84,61.46,73.91,11.6,0,1.52
38.6,5.17,61.17,76.39,10.6,0,1.52
39.65,7.01,61.3,72.71,11.6,0,1.53
40.87,6.3,57.04,70.03,12.5,0,1.53
42.46,5.32,59.14,71.05,11.9,19.7,1.53
42.66,5.32,59.14,71.05,11.9,19.9,1.52
42.23,5.32,59.14,71.05,11.9,19.3,1.54
41.43,5.71,57.68,69.37,11,19.5,1.52
41.47,6.6,58.8,71.17,11.3,19.3,1.52
42.07,6.76,55.42,69.8,10.8,22.5,1.48
44.35,6.76,55.42,69.8,10.8,20.5,1.53
44.16,6.76,55.42,69.8,10.8,21.5,1.55
43.33,6.77,58.76,72.74,11.4,20.5,1.56
42.61,6.95,60.31,73.97,12.2,20.5,1.5
42.96,6.95,60.31,73.97,12.2,20.5,1.5
43.84,6.95,60.31,73.97,12.2,20,1.56
46.34,7.97,64.75,74.1,11.7,18,1.52
39.74,6.94,57.02,69.51,10.4,19,1.52
41.12,6.94,57.02,69.51,10.4,18,1.53
40.14,6.94,57.02,69.51,10.4,19.5,1.54
42.69,7.56,61.62,72.17,11.1,19.5,1.54
40.15,6.87,57.33,71.52,9.7,19.5,1.54
39.77,6.87,57.33,71.52,9.7,19.5,1.54
39.4,6.87,57.33,71.52,9.7,19.5,1.52
39.14,6.65,55.61,68.93,10.7,19.5,1.5
40.36,6.65,55.61,68.93,10.7,19.5,1.52
42.31,6.65,55.61,68.93,10.7,18,1.58
40.49,6.72,57.24,71.27,9.3,20,1.57
40.57,6.57,55.93,69.48,8.7,19,1.6
38.2,6.16,54.67,66.95,9.1,20,1.51
38.7,6.16,54.67,66.95,9.1,19.5,1.51
38.94,6.16,54.67,66.95,9.1,19.5,1.49
41.9,6.37,52.67,64.34,11,20,1.5
42.03,6.37,52.67,64.34,11,19.5,1.51
41.96,6.37,52.67,64.34,11,19.5,1.5
41.85,6.31,54.42,66.13,12,19.5,1.48
39.71,6.27,53.51,66.52,10,20,1.49
39.38,6.27,53.51,66.52,10.2,19,1.48
39.16,6.27,53.51,66.52,10.2,19,1.48
39.38,6.58,52.5,63.29,9.5,19,1.47
40.08,6.45,53.18,64.98,10.9,19.5,1.51
39.17,6.39,58.85,73.45,11.3,21.5,1.55
38.37,6.39,58.85,73.45,11.3,22.2,1.54
38.76,6.39,58.85,73.45,11.3,22,1.54
38.73,6.35,56.93,70.87,11.5,22.5,1.55
38.95,6.17,53.8,65.53,11.4,21.5,1.55
40.41,6.97,58.18,71.85,11,21.5,1.55
39.9,6.97,58.18,71.85,11,22,1.52
39.79,6.97,58.18,71.85,11,22,1.53
41.25,8.81,63.99,78.25,12.7,22,1.55
41,6.8,57.21,70.34,11.2,20.5,1.55
41.59,6.8,57.21,70.34,11.2,21,1.55
40.91,6.8,57.21,70.34,11.2,22,1.54
38.99,6.3,51.96,64.07,11.6,21,1.55
38.81,6.3,51.96,64.07,11.6,21.5,1.55
39.3,6.3,51.96,64.07,11.6,21.5,1.55
40.77,6.45,55.09,69.18,10.8,21.5,1.54
39.27,6.45,55.09,69.18,10.8,21.5,1.55
40.06,6.45,55.09,69.18,10.8,21.7,1.55
39.17,6.28,54.33,68.3,12.4,22,1.54
39.98,7.33,56.87,70.17,9.9,21.5,1.54
39.91,7.22,57.32,71.02,10,21.5,1.55
40.77,6.19,53.59,66.4,9.1,21.5,1.53
39.86,5.98,54.1,66.5,10.6,22,1.53
40.03,5.98,54.1,66.5,10.6,22,1.54
40.81,5.98,54.1,66.5,10.6,20.9,1.55
37.94,5.85,51.75,64.02,11.5,22,1.54
